"timestamp","CARBON_INTENSITY","LOW_CARBON","ZERO_CARBON","RENEWABLE","DEMAND","type"
2021-06-30,169.8305556,14552.48125,12349.13403,7036.966667,24992.96736,"Historical"
2021-07-31,205.8615591,12319.78831,10164.58871,5732.732527,25058.62097,"Historical"
2021-08-31,179.405914,13422.92944,11671.57258,7239.977151,24729.49731,"Historical"
2021-09-30,202.0854167,13377.90278,11836.50694,6965.136806,26004.29167,"Historical"
2021-10-31,147.6760753,18043.91935,15914.6297,11395.13038,27258.55309,"Historical"
2021-11-30,180.9458333,18835.60833,16478.61667,10853.22708,31179.77917,"Historical"
2021-12-31,185.452957,18383.54906,15790.64785,10071.06989,32017.90524,"Historical"
2022-01-31,182.9146505,19002.27151,16689.21909,11187.78495,32762.60013,"Historical"
2022-02-28,126.2708333,23233.12426,21115.27679,16008.79985,30422.25074,"Historical"
2022-03-31,185.1736205,17516.73822,15659.26312,9977.446837,29263.35061,"Historical"
2022-04-30,179.7805556,16966.48542,15337.01875,9869.525694,25971.95486,"Historical"
2022-05-31,182.250672,16718.46035,15647.61694,10177.28495,23845.99731,"Historical"
2022-06-30,181.4861111,16535.21389,15060.24444,9314.213889,22853.75139,"Historical"
2022-07-31,207.6740591,15146.00739,13319.66196,8547.327285,23282.50739,"Historical"
2022-08-31,218.7983871,13615.14919,11749.53831,7242.271505,23332.89785,"Historical"
2022-09-30,209.6458333,15886.57847,13893.15903,9332.8125,24102.89653,"Historical"
2022-10-31,153.328629,18655.02688,17657.0961,13162.07258,24704.35148,"Historical"
2022-11-30,164.4430556,19059.68264,17385.24583,12938.72153,27986.51875,"Historical"
2022-12-31,175.9079301,18416.04032,16691.79301,11181.47513,31136.81116,"Historical"
2023-01-31,140.0880376,20793.98051,19215.50269,14170.41465,30707.01478,"Historical"
2023-02-28,164.9375,17387.78423,15549.36161,11986.83929,29573.83929,"Historical"
2023-03-31,155.9131898,16896.85262,15317.26245,11183.81157,29059.33176,"Historical"
2023-04-30,157.0125,15759.79792,14091.21667,9842.763889,25521.33472,"Historical"
2023-05-31,146.7896505,13302.74194,12486.60887,8258.181452,22944.26277,"Historical"
2023-06-30,162.0819444,13738.96875,12951.56111,8305.829861,22415.63333,"Historical"
2023-07-31,137.0248656,16066.28629,14659.75134,10472.78293,21836.77352,"Historical"
2023-08-31,156.0510753,14240.02755,13084.69892,8969.266129,22269.49126,"Historical"
2023-09-30,155.5569444,15845.10833,14587.93681,9439.008333,23804.76875,"Historical"
2023-10-31,134.1451613,18142.69892,16275.73522,11993.9832,25526.51411,"Historical"
2023-11-30,159.075,17860.85139,15497.55903,11558.05764,29685.26597,"Historical"
2023-12-31,121.3427419,21637.72849,19626.20228,14762.12298,29538.50874,"Historical"
2024-01-31,166.5544355,18869.5,16618.35618,13327.55578,31808.83602,"Historical"
2024-02-29,131.5201149,19269.74353,17029.60057,13265.46983,29526.0819,"Historical"
2024-03-31,127.2065949,18073.23486,16356.0747,12569.23217,27902.24024,"Historical"
2024-04-30,91.51041667,21001.54167,18794.25278,13647.88403,25210.95903,"Historical"
2024-05-31,122.3178763,14981.73185,12938.56586,8072.227823,23120.84005,"Historical"
2024-06-30,98.98611111,16580.15972,14756.55069,10054.59097,22103.075,"Historical"
2024-07-31,95.46969697,17255.81818,15566.32386,10693.58902,22911.04735,"Historical"
2025-01-01,114.233689391645,16714.7851258537,14215.0775073197,10062.3557623025,22546.7385660362,"Forecast"
2025-02-01,119.590071628114,17358.949331827,15350.5065510273,10827.957775262,23346.2110893087,"Forecast"
2025-03-01,75.359737214869,19740.5230060243,17018.5900221476,13278.0982932373,24298.1609412141,"Forecast"
2025-04-01,95.867442422672,20080.1411431393,16673.591631915,12968.3505410025,27874.8471797952,"Forecast"
2025-05-01,86.5554009243614,21382.1534269958,17885.1202927034,13676.9450807485,29619.3566149629,"Forecast"
2025-06-01,90.6596885764603,20885.9309233083,17587.3798131637,14013.2445204822,30035.7639851843,"Forecast"
2025-07-01,73.3802408851826,21335.7797734545,16665.7470468717,14796.069038858,28267.0734701425,"Forecast"
2025-08-01,81.4257530735928,19538.9140571909,16368.0695796962,13172.6994894226,27324.6026477858,"Forecast"
2025-09-01,66.450997651642,19574.0766212775,16846.938154481,12645.9902582319,24016.170439957,"Forecast"
2025-10-01,75.389980937272,17093.7779613326,14378.6617474822,10512.7393270587,21682.452996631,"Forecast"
2025-11-01,71.734120311828,17482.3107951928,15135.3481165905,10899.1060514276,20903.0874577712,"Forecast"
2025-12-01,66.7412718371502,17714.4341556338,15907.3596900793,11229.2858125229,20922.0145427525,"Forecast"
2026-01-01,83.8879950564588,17128.1770834221,14988.6812595751,10800.6754493162,21084.1943255571,"Forecast"
2026-02-01,83.7736373453701,18191.8755399083,15812.716034006,11597.0312191981,22215.322214795,"Forecast"
2026-03-01,45.4577304332362,20493.6744605718,16872.4590198964,14047.1793009476,23395.9385903047,"Forecast"
2026-04-01,65.5278769355855,20751.687817769,16528.9406164587,13737.4374746139,27134.1912745953,"Forecast"
2026-05-01,50.1350223827847,22049.1014195345,18139.7650499011,14446.036657056,28520.3259756365,"Forecast"
2026-06-01,60.8173231059714,21607.0370561915,17166.3303006891,14782.3397341482,29486.0569382116,"Forecast"
2026-07-01,46.2860062221684,22056.8332956151,16970.1913990098,15565.1671022425,27714.3235162636,"Forecast"
2026-08-01,45.8239303239359,20249.513339069,16673.1863344899,13941.7997854426,26613.4443344539,"Forecast"
